Saab,09-Mar,SN09 HLU,Aquamarine
Chevrolet,Venture,SX36 ATO,Maroon
Hyundai,Genesis Coupe,SQ92 EUC,Indigo
Ford,Thunderbird,SE54 YAW,Crimson
Audi,A8,SY01 KIZ,Green
Mitsubishi,Outlander,ST39 PFR,Blue
Ford,F450,SE75 KCZ,Purple
Mitsubishi,Space,SS42 XCU,Goldenrod
Pontiac,Grand Prix,SE37 OJQ,Indigo
MINI,Clubman,SA34 MQS,Orange
Pontiac,Montana,SJ09 AKL,Red
Aptera,Typ-1,SC03 GLH,Blue
Chevrolet,Tahoe,SH98 XZY,Puce
Toyota,Land Cruiser,SM66 NQF,Green
Pontiac,Firebird,SC60 OAQ,Fuscia
Honda,Accord,SO93 RCP,Pink
Chevrolet,3500,SK32 WDF,Khaki
Mazda,CX-9,SZ14 UTC,Blue
GMC,Safari,SP30 CWL,Indigo
Mercury,Sable,SI65 AIM,Red
Volkswagen,Cabriolet,SW81 ZNW,Green
Mitsubishi,Outlander,SK48 WQG,Khaki
Suzuki,SJ,SN78 VRK,Mauv
Audi,A4,SO43 XZP,Blue
Dodge,Caravan,SG53 XSV,Blue
Chevrolet,Lumina,SY68 BFU,Goldenrod
Dodge,Ram Van 2500,SR44 SPA,Indigo
Toyota,Highlander,SF39 LTW,Pink
Lexus,ES,SO08 RHA,Violet
Lincoln,Mark VII,SM21 AOW,Mauv
Panoz,Esperante,SM85 GUO,Maroon
Ford,Probe,SM16 EKD,Purple
Chevrolet,Monte Carlo,SM95 WMW,Red
Toyota,Land Cruiser,SL57 IGD,Violet
Audi,A3,SY13 QJU,Maroon
Lexus,GX,SK18 ARV,Yellow
Chevrolet,Monte Carlo,SC43 GMR,Indigo
Ford,Taurus,SA77 JPA,Turquoise
Infiniti,QX56,SR55 NLE,Fuscia
Ford,E-Series,SI42 SLH,Maroon
Porsche,Cayman,SI38 JPR,Fuscia
Pontiac,Bonneville,SU24 UNJ,Crimson
Chevrolet,Corvette,SK69 SAC,Red
MINI,Clubman,SM52 HTV,Red
Toyota,Land Cruiser,SD76 DUL,Fuscia
Mitsubishi,Eclipse,SN27 VOU,Red
Dodge,Ram 2500,SH71 AEE,Green
GMC,Savana 2500,SE93 QAV,Fuscia
Suzuki,Verona,ST15 ICC,Red
Audi,A6,ST48 YYC,Maroon
Mitsubishi,Expo,SR72 RWY,Violet
Oldsmobile,Cutlass Supreme,SR30 LTP,Crimson
Kia,Sportage,SW66 HVK,Orange
GMC,2500,SZ53 VVC,Mauv
Volkswagen,Rabbit,SH25 VDZ,Yellow
Isuzu,Oasis,SI25 LKY,Purple
Buick,LeSabre,SU73 VCO,Purple
Mercedes-Benz,SLK-Class,SD14 MNH,Turquoise
Ford,Explorer Sport Trac,SO95 RPI,Fuscia
Lotus,Esprit,SL21 DRU,Blue
